Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Personal Use,M,33.43,,Laptop for Work,
Small organization,M,48.78,,Laptop for Home,
Big Organization,F,39.61,,Gaming Laptop,
Gaming Purpose,M,54.99,,Desktops for Business,
Small Organization,M,41.07,,Servers for Small Businesses,
Big Organization,F,46.43,,Servers for Large Businesses,
Small Organization,F,42.15,,Workstations for Professional Use,
Gaming Purpose,F,57.36,,Laptop for Work,
Personal Use,M,34.37,,Laptop for Home,
Big Organization,F,45.55,,Gaming Laptop,
Gaming Purpose,M,22.61,,Desktops for Business,
Big Organization,M,50.04,,Servers for Small Businesses,
Small Organization,M,41.59,,Servers for Large Businesses,
Small Organization,M,27.31,,Workstations for Professional Use,
Personal Use,F,45.52,,Laptop for Work,
Personal Use,F,28.52,,Laptop for Home,
Personal Use,M,22.1,,Gaming Laptop,
Gaming Purpose,F,55.15,,Desktops for Business,
Small organization,M,57.74,,Servers for Small Businesses,
Personal Use,F,21.79,,Servers for Large Businesses,
Big Organization,F,41.94,,Workstations for Professional Use,
Big Organization,F,21.25,,Laptop for Work,
Academic purpose,M,25.06,,Laptop for Home,
Academic purpose,M,33.87,,Gaming Laptop,
Personal Use,M,59.26,,Desktops for Business,
Gaming Purpose,F,56.1,,Servers for Small Businesses,
Gaming Purpose,F,29.66,,Servers for Large Businesses,
Gaming Purpose,F,24.3,,Workstations for Professional Use,
Academic purpose,M,21.85,,Laptop for Work,
Academic purpose,M,40.9,,Laptop for Home,
Personal Use,M,55.59,,Gaming Laptop,
Small organization,F,44.64,,Desktops for Business,
Big Organization,M,42.68,,Servers for Small Businesses,
Big Organization,M,56.17,,Servers for Large Businesses,
Academic purpose,F,47.3,,Workstations for Professional Use,
Small organization,M,23.92,,Laptop for Work,
Gaming Purpose,F,29.32,,Laptop for Home,
Personal Use,M,50.15,,Gaming Laptop,
Gaming Purpose,M,46.13,,Desktops for Business,
Gaming Purpose,M,22.26,,Servers for Small Businesses,
Small organization,F,54.5,,Servers for Large Businesses,
Big Organization,F,53.38,,Workstations for Professional Use,
Small Organization,M,53.83,,Laptop for Work,
Academic purpose,M,55.23,,Laptop for Home,
Small organization,F,24.58,,Gaming Laptop,
Gaming Purpose,F,42.15,,Desktops for Business,
Big Organization,F,52.01,,Servers for Small Businesses,
Big Organization,M,35.45,,Servers for Large Businesses,
Small organization,M,50.08,,Workstations for Professional Use,
Small Organization,M,36.01,,Laptop for Work,
Big Organization,F,21.68,,Laptop for Home,
Personal Use,M,26.05,,Gaming Laptop,
Personal Use,F,36.12,,Desktops for Business,
Personal Use,F,39.28,,Servers for Small Businesses,
Academic purpose,F,40.76,,Servers for Large Businesses,
Personal Use,M,26.17,,Workstations for Professional Use,
Small Organization,F,53.02,,Laptop for Work,
Gaming Purpose,F,21.56,,Laptop for Home,
Personal Use,M,30.54,,Gaming Laptop,
Small Organization,M,29.47,,Desktops for Business,
Academic purpose,M,43.68,,Servers for Small Businesses,
Academic purpose,F,54.2,,Servers for Large Businesses,
Big Organization,F,48.19,,Workstations for Professional Use,
Gaming Purpose,M,43.63,,Laptop for Work,
Big Organization,F,38.19,,Laptop for Home,
Personal Use,M,56.82,,Gaming Laptop,
Small Organization,M,33.31,,Desktops for Business,
Big Organization,F,31.82,,Servers for Small Businesses,
Small organization,F,56.24,,Servers for Large Businesses,
Big Organization,F,50.79,,Workstations for Professional Use,
Gaming Purpose,F,22.36,,Laptop for Work,
Academic purpose,M,49.27,,Laptop for Home,
Big Organization,M,48.7,,Gaming Laptop,
Academic purpose,F,22.79,,Desktops for Business,
Academic purpose,F,51.19,,Servers for Small Businesses,
Academic purpose,F,28.69,,Servers for Large Businesses,
Small Organization,M,34.05,,Workstations for Professional Use,
Academic purpose,M,22.21,,Laptop for Work,
Gaming Purpose,F,57.55,,Laptop for Home,
Small Organization,F,33.82,,Gaming Laptop,
Small Organization,F,39.92,,Desktops for Business,
Big Organization,M,24.75,,Servers for Small Businesses,
Gaming Purpose,M,56.59,,Servers for Large Businesses,
Big Organization,M,44.9,,Workstations for Professional Use,
Small organization,F,44.59,,Laptop for Work,
Gaming Purpose,F,29.85,,Laptop for Home,
Gaming Purpose,M,43.32,,Gaming Laptop,
Academic purpose,F,56.22,,Desktops for Business,
Small organization,M,35.46,,Servers for Small Businesses,
Big Organization,M,41.22,,Servers for Large Businesses,
Big Organization,F,51.18,,Workstations for Professional Use,
Gaming Purpose,M,56.54,,Laptop for Work,
Small Organization,F,28.6,,Laptop for Home,
Big Organization,M,47.35,,Gaming Laptop,
Small organization,F,54.48,,Desktops for Business,
Small Organization,F,48.67,,Servers for Small Businesses,
Big Organization,M,49.19,,Servers for Large Businesses,
Small Organization,M,40.97,,Workstations for Professional Use,
Personal Use,F,26.91,,Laptop for Work,
Academic purpose,M,29.93,,Laptop for Home,
Big Organization,M,34.07,,Gaming Laptop,
Personal Use,F,38.6,,Desktops for Business,
Big Organization,M,39.07,,Servers for Small Businesses,
Gaming Purpose,M,50.65,,Servers for Large Businesses,
Personal Use,F,46.21,,Workstations for Professional Use,
Personal Use,M,22.02,,Laptop for Work,
Small organization,M,43.93,,Laptop for Home,
Big Organization,M,38.67,,Gaming Laptop,
Gaming Purpose,M,21.23,,Desktops for Business,
Academic purpose,F,35.76,,Servers for Small Businesses,
Small organization,F,52.39,,Servers for Large Businesses,
Small organization,F,52.86,,Workstations for Professional Use,
Gaming Purpose,F,59.9,,Laptop for Work,
Small Organization,F,50.63,,Laptop for Home,
Small organization,M,35.69,,Gaming Laptop,
Big Organization,F,29.59,,Desktops for Business,
Small organization,F,57.59,,Servers for Small Businesses,
Small organization,F,22.21,,Servers for Large Businesses,
Small organization,F,22.99,,Workstations for Professional Use,
Gaming Purpose,F,36.25,,Laptop for Work,
Big Organization,F,35.85,,Laptop for Home,
Big Organization,M,27.33,,Gaming Laptop,
Small organization,M,42.84,,Desktops for Business,
Big Organization,M,56.76,,Servers for Small Businesses,
Big Organization,F,44.86,,Servers for Large Businesses,
Gaming Purpose,F,49.6,,Workstations for Professional Use,
Small organization,M,25.68,,Laptop for Work,
Small organization,F,50.03,,Laptop for Home,
Gaming Purpose,M,26.94,,Gaming Laptop,
Academic purpose,F,37.88,,Desktops for Business,
Big Organization,M,57.33,,Servers for Small Businesses,
Big Organization,M,47.51,,Servers for Large Businesses,
Academic purpose,F,31.05,,Workstations for Professional Use,
Gaming Purpose,F,42.82,,Laptop for Work,
Big Organization,M,47.51,,Laptop for Home,
Small organization,F,55.65,,Gaming Laptop,
Gaming Purpose,M,37.28,,Desktops for Business,
Small organization,F,41.32,,Servers for Small Businesses,
Personal Use,M,22.32,,Servers for Large Businesses,
Small Organization,M,36.43,,Workstations for Professional Use,
Small organization,F,54.39,,Laptop for Work,
Big Organization,F,34.03,,Laptop for Home,
Personal Use,F,26.77,,Gaming Laptop,
Small Organization,F,43.84,,Desktops for Business,
Personal Use,M,22.24,,Servers for Small Businesses,
Small Organization,F,25.89,,Servers for Large Businesses,
Big Organization,M,27.24,,Workstations for Professional Use,
Small organization,M,48.36,,Laptop for Work,
Big Organization,M,26.36,,Laptop for Home,
Small Organization,M,45.61,,Gaming Laptop,
Big Organization,F,48.02,,Desktops for Business,
Small Organization,M,34.53,,Servers for Small Businesses,
Big Organization,F,44.42,,Servers for Large Businesses,
Big Organization,F,48.13,,Workstations for Professional Use,
Small organization,M,34.77,,Laptop for Work,
Big Organization,F,59.37,,Laptop for Home,
Big Organization,M,43.72,,Gaming Laptop,
Gaming Purpose,M,51.2,,Desktops for Business,
Small Organization,F,30.06,,Servers for Small Businesses,
Small organization,M,37.94,,Servers for Large Businesses,
Gaming Purpose,F,39.7,,Workstations for Professional Use,
Small Organization,M,37.81,,Laptop for Work,
Gaming Purpose,M,36.84,,Laptop for Home,
Small organization,M,35.79,,Gaming Laptop,
Big Organization,M,37.44,,Desktops for Business,
Personal Use,F,53.71,,Servers for Small Businesses,
Big Organization,M,37.94,,Servers for Large Businesses,
Small Organization,F,54.52,,Workstations for Professional Use,
Big Organization,M,51.17,,Laptop for Work,
Academic purpose,F,31.94,,Laptop for Home,
Academic purpose,F,54.61,,Gaming Laptop,
Academic purpose,F,51.22,,Desktops for Business,
Big Organization,M,45.76,,Servers for Small Businesses,
Academic purpose,M,46.28,,Servers for Large Businesses,
Small organization,M,48.96,,Workstations for Professional Use,
Small Organization,F,35.99,,Laptop for Work,
Personal Use,M,34.21,,Laptop for Home,
Big Organization,F,57.79,,Gaming Laptop,
Gaming Purpose,M,21.5,,Desktops for Business,
Academic purpose,M,52.47,,Servers for Small Businesses,
Big Organization,F,58.18,,Servers for Large Businesses,
Gaming Purpose,M,51.3,,Workstations for Professional Use,
Big Organization,M,30.66,,Laptop for Work,
Small organization,F,41.3,,Laptop for Home,
Big Organization,M,51.44,,Gaming Laptop,
Academic purpose,F,54.88,,Desktops for Business,
Big Organization,F,56.22,,Servers for Small Businesses,
Personal Use,M,54.64,,Servers for Large Businesses,
Personal Use,F,54.42,,Workstations for Professional Use,
Small Organization,F,42.41,,Laptop for Work,
Personal Use,M,57.86,,Laptop for Home,
Personal Use,M,41.65,,Gaming Laptop,
Academic purpose,F,38.7,,Desktops for Business,
Academic purpose,F,30.99,,Servers for Small Businesses,
Small Organization,F,33.67,,Servers for Large Businesses,
Small Organization,M,24.04,,Workstations for Professional Use,
Gaming Purpose,M,43.48,,Laptop for Work,
Small organization,M,22.51,,Laptop for Home,
Personal Use,F,39.6,,Gaming Laptop,
Gaming Purpose,F,37.51,,Desktops for Business,
Small Organization,M,39.12,,Servers for Small Businesses,
Big Organization,M,23.13,,Servers for Large Businesses,
Academic purpose,M,53.03,,Workstations for Professional Use,
Big Organization,M,34.28,,Laptop for Work,
Gaming Purpose,F,24.61,,Laptop for Home,
Academic purpose,M,23.75,,Gaming Laptop,
Personal Use,M,31.19,,Desktops for Business,
Academic purpose,F,58.58,,Servers for Small Businesses,
Small Organization,F,47.07,,Servers for Large Businesses,
Personal Use,F,58.57,,Workstations for Professional Use,
Small organization,F,47.72,,Laptop for Work,
Personal Use,M,32.17,,Laptop for Home,
Big Organization,M,26.27,,Gaming Laptop,
Small Organization,F,29.52,,Desktops for Business,
Big Organization,M,39.16,,Servers for Small Businesses,
Small Organization,F,46.81,,Servers for Large Businesses,
Academic purpose,M,47.14,,Workstations for Professional Use,
Gaming Purpose,F,37.83,,Laptop for Work,
Small organization,M,58.43,,Laptop for Home,
Small organization,M,32.8,,Gaming Laptop,
Personal Use,M,28.22,,Desktops for Business,
Small Organization,M,52.47,,Servers for Small Businesses,
Small organization,M,21.33,,Servers for Large Businesses,
Small Organization,F,51.42,,Workstations for Professional Use,
Small organization,F,53.21,,Laptop for Work,
Small organization,F,46.68,,Laptop for Home,
Small organization,M,38.08,,Gaming Laptop,
Gaming Purpose,F,41.5,,Desktops for Business,
Small Organization,F,39.44,,Servers for Small Businesses,
Small Organization,F,56.48,,Servers for Large Businesses,
Small Organization,F,42.75,,Workstations for Professional Use,
Gaming Purpose,F,33.87,,Laptop for Work,
Big Organization,M,30.39,,Laptop for Home,
Academic purpose,M,44.14,,Gaming Laptop,
Academic purpose,M,46.84,,Desktops for Business,
Big Organization,M,53.86,,Servers for Small Businesses,
Personal Use,M,59.17,,Servers for Large Businesses,
Big Organization,M,34.71,,Workstations for Professional Use,
Small organization,F,41.72,,Laptop for Work,
Small Organization,F,23.84,,Laptop for Home,
Gaming Purpose,F,51.04,,Gaming Laptop,
Big Organization,F,57.48,,Desktops for Business,
Big Organization,M,57.14,,Servers for Small Businesses,
Small organization,F,55.7,,Servers for Large Businesses,
Small Organization,F,37.9,,Workstations for Professional Use,
Big Organization,F,48.54,,Laptop for Work,
Personal Use,M,24.77,,Laptop for Home,
Gaming Purpose,F,41.32,,Gaming Laptop,
Big Organization,M,21.78,,Desktops for Business,
Big Organization,F,26.22,,Servers for Small Businesses,
Academic purpose,F,31.66,,Servers for Large Businesses,
Gaming Purpose,M,23.11,,Workstations for Professional Use,
Big Organization,F,33.36,,Laptop for Work,
Personal Use,F,32.63,,Laptop for Home,
Big Organization,M,27.73,,Gaming Laptop,
Gaming Purpose,F,57.5,,Desktops for Business,
Big Organization,M,34.47,,Servers for Small Businesses,
Personal Use,M,36.13,,Servers for Large Businesses,
Big Organization,F,40.32,,Workstations for Professional Use,
Academic purpose,M,39.42,,Laptop for Work,
Academic purpose,F,54.55,,Laptop for Home,
Personal Use,M,28.86,,Gaming Laptop,
Big Organization,M,37.64,,Desktops for Business,
Big Organization,M,33.84,,Servers for Small Businesses,
Gaming Purpose,M,54.22,,Servers for Large Businesses,
Personal Use,M,46.23,,Workstations for Professional Use,
Big Organization,F,26.29,,Laptop for Work,
Personal Use,M,22.21,,Laptop for Home,
Academic purpose,M,22.7,,Gaming Laptop,
Big Organization,M,30.39,,Desktops for Business,
Gaming Purpose,M,31.79,,Servers for Small Businesses,
Personal Use,M,39.04,,Servers for Large Businesses,
Small Organization,F,36.39,,Workstations for Professional Use,
Gaming Purpose,M,44.78,,Laptop for Work,
Big Organization,F,40.01,,Laptop for Home,
Personal Use,F,35.32,,Gaming Laptop,
Academic purpose,F,44.31,,Desktops for Business,
Academic purpose,M,59.6,,Servers for Small Businesses,
Personal Use,F,55.75,,Servers for Large Businesses,
Big Organization,M,54.07,,Workstations for Professional Use,
Big Organization,F,43.61,,Laptop for Work,
Personal Use,M,49.31,,Laptop for Home,
Big Organization,F,44.15,,Gaming Laptop,
Gaming Purpose,M,54.83,,Desktops for Business,
Personal Use,M,21.1,,Servers for Small Businesses,
Personal Use,F,51.14,,Servers for Large Businesses,
Small Organization,F,28.3,,Workstations for Professional Use,
Academic purpose,F,50.13,,Laptop for Work,
Personal Use,M,50.73,,Laptop for Home,
Small Organization,M,28.59,,Gaming Laptop,
Academic purpose,M,30.64,,Desktops for Business,
Academic purpose,M,47.06,,Servers for Small Businesses,
Personal Use,M,40.07,,Servers for Large Businesses,
Small organization,M,46.91,,Workstations for Professional Use,
Big Organization,F,53.51,,Laptop for Work,
Big Organization,M,27.68,,Laptop for Home,
Personal Use,F,22.86,,Gaming Laptop,
Small Organization,M,58.63,,Desktops for Business,
Big Organization,M,59.64,,Servers for Small Businesses,
Gaming Purpose,F,46.6,,Servers for Large Businesses,
Academic purpose,M,22.45,,Workstations for Professional Use,
Personal Use,M,40.05,,Laptop for Work,
Small organization,M,30.67,,Laptop for Home,
Gaming Purpose,F,55.42,,Gaming Laptop,
Small Organization,F,32.37,,Desktops for Business,
Gaming Purpose,M,49.71,,Servers for Small Businesses,
Big Organization,F,25.59,,Servers for Large Businesses,
Academic purpose,M,39.28,,Workstations for Professional Use,
Small organization,F,35.75,,Laptop for Work,
Personal Use,F,52.95,,Laptop for Home,
Big Organization,M,44.33,,Gaming Laptop,
Small organization,M,36.32,,Desktops for Business,
Personal Use,F,24.87,,Servers for Small Businesses,
Small Organization,F,58.35,,Servers for Large Businesses,
Big Organization,M,47.17,,Workstations for Professional Use,
Personal Use,M,40.19,,Laptop for Work,
Academic purpose,F,59.68,,Laptop for Home,
Small organization,M,59.26,,Gaming Laptop,
Academic purpose,M,52.29,,Desktops for Business,
Big Organization,F,58.57,,Servers for Small Businesses,
Gaming Purpose,F,53.24,,Servers for Large Businesses,
Academic purpose,F,53.31,,Workstations for Professional Use,
Academic purpose,F,38.28,,Laptop for Work,
Big Organization,F,54.65,,Laptop for Home,
Big Organization,M,25.24,,Gaming Laptop,
Small organization,M,22.87,,Desktops for Business,
Small organization,M,41.61,,Servers for Small Businesses,
Gaming Purpose,M,44.64,,Servers for Large Businesses,
